iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1
241,241,PSO,1.043555117529661e-08,501,47.11485759155644,2.1224672877622615e-06
242,242,PSO,1.1265504885870753e-08,501,6.252300959092377e-06,15.994111953872876
243,243,PSO,1.0200999898994605e-08,501,100.0,1.00000000000064e-06
244,244,PSO,1.0300246670108188e-08,501,1.4901212124736308e-06,67.10863777022057
245,245,PSO,1.113528755886078e-08,501,18.05615498079936,5.538277897296577e-06
246,246,PSO,9.609615936026086e-09,501,8.738593217269764e-06,11.443474085278648
247,247,PSO,1.0200999898994605e-08,501,1.0000000000000777e-06,99.99999999996778
248,248,PSO,3.5544474098702717e-09,501,9.873454377634577,1.0128278494726648e-05
249,249,PSO,1.0272509913115435e-08,501,73.88842496368298,1.3533919643023796e-06
250,250,PSO,1.129725749147505e-08,501,7.1863247607520485e-06,13.91530147670659
251,251,PSO,1.021746298873249e-08,501,92.46703541088179,1.0814664706891353e-06
252,252,PSO,8.499746994357631e-09,501,1.1766791032142672e-05,8.498544825775365
253,253,PSO,1.0728371815926075e-08,501,27.957932454426487,3.5768007272024383e-06
254,254,PSO,6.545118703891908e-09,501,9.605538531010257e-06,10.410816532809232
255,255,PSO,1.0342771324568633e-08,501,1.6984259465719376e-06,58.87807185325635
256,256,PSO,1.015493526813955e-08,501,11.767656668626115,8.497849466816416e-06
257,257,PSO,2.636788614083953e-09,501,1.026760925467496e-05,9.739365766418615
258,258,PSO,1.1188856749211617e-08,501,5.8100618268491555e-06,17.211528118499373
259,259,PSO,1.02028965076217e-08,501,1.0093886017263924e-06,99.06987291844692
260,260,PSO,1.0200999898994605e-08,501,1.0000000000006503e-06,99.99999999999918
261,261,PSO,1.0383572289718112e-08,501,52.6367143566477,1.8998145897767285e-06
262,262,PSO,9.173992514282368e-09,501,11.240953538122152,8.896055047615903e-06
263,263,PSO,4.975126962289834e-09,501,9.862784998490896e-06,10.139174086544228
264,264,PSO,1.0250740041189833e-08,501,1.2459156522070204e-06,80.2622496330786
265,265,PSO,1.0538829147696261e-08,501,2.6587887915526813e-06,37.61110881753368
266,266,PSO,3.173528800807565e-10,501,8.959315129701555,1.1161611438633788e-05
267,267,PSO,1.114925947688157e-08,501,13.099511899034166,7.633877694972593e-06
268,268,PSO,1.0722740493779042e-08,501,3.550648700059108e-06,28.16386562678172
269,269,PSO,1.0470186054301127e-08,501,2.3239293810301095e-06,43.03056785071313
270,270,PSO,1.0877266751636068e-08,501,23.287153935705557,4.294213219415535e-06
271,271,PSO,1.038725654167722e-08,501,1.917892838024026e-06,52.14055624864996
272,272,PSO,1.0450950242423339e-08,501,46.46489098038238,2.1521540089879055e-06
273,273,PSO,9.665307816780245e-09,501,8.676231618697308,1.1526646989842058e-05
274,274,PSO,1.0207786818936526e-08,501,96.74987616065182,1.0335930553863854e-06
275,275,PSO,1.1064683629277239e-08,501,19.256137941414394,5.19314926627438e-06
276,276,PSO,1.0378126897694025e-08,501,53.38776563442826,1.8730883781597132e-06
277,277,PSO,1.1279242957212281e-10,501,9.013847994062202,1.1094038947733902e-05
278,278,PSO,1.0468667845311425e-08,501,2.3159950909411575e-06,43.17799846747194
279,279,PSO,1.0200999898994605e-08,501,99.99999999999795,1.0000000000000224e-06
280,280,PSO,1.0662165947465367e-08,501,30.695927610331744,3.25776099591063e-06
281,281,PSO,1.6245095091717694e-12,11,1.099174516458263e-05,9.097744357502112
282,282,PSO,3.318383428946604e-10,501,8.95320491610686,1.1169167796299547e-05
283,283,PSO,1.049090476815272e-08,501,2.4250343859940078e-06,41.23652319029183
284,284,PSO,1.107916213394551e-08,501,5.263004215191486e-06,19.000550820724055
285,285,PSO,1.0507051338161312e-08,501,39.938683301831595,2.50383786851992e-06
286,286,PSO,1.0200999898994605e-08,501,99.99999999867467,1.0000000000135345e-06
287,287,PSO,1.0237211102162446e-08,501,1.1790863709253394e-06,84.8114237967803
288,288,PSO,1.0200999898994605e-08,501,1.0000000000000512e-06,99.99999999999638
289,289,PSO,2.8817820632652417e-09,501,9.77972476323291,1.0225258961409434e-05
290,290,PSO,8.301731756868891e-09,501,9.159549694337013e-06,10.917522597561621
291,291,PSO,1.0982615684638731e-08,501,4.798865138718501e-06,20.83826121246716
292,292,PSO,1.0208488320078017e-08,501,96.42958778753507,1.0370260151585326e-06
293,293,PSO,1.0200999898994605e-08,501,99.99999999755447,1.0000000000241404e-06
294,294,PSO,1.1145759724578566e-08,501,17.887461268913007,5.5905087154372e-06
295,295,PSO,1.0416571450435294e-08,501,48.506076758331645,2.061597461221961e-06
296,296,PSO,1.1164380048473517e-08,501,17.601520460732413,5.681331896685094e-06
297,297,PSO,1.023223822629715e-08,501,1.154527140709147e-06,86.61554718132402
298,298,PSO,3.678158915524661e-09,501,1.008602153342286e-05,9.91470512409147
299,299,PSO,1.1021642768491712e-08,501,4.7265535753135865e-06,21.157220400895827
0,0,DE,1.0201000017677005e-08,501,99.99995991251183,1.0000003946335517e-06
1,1,DE,1.020099989899465e-08,501,1.0000000000345828e-06,99.99999999587799
2,2,DE,1.0200999898994605e-08,501,99.99999999999878,1.0000000000000715e-06
3,3,DE,1.0201225023852554e-08,501,99.90115728058463,1.0009892459433682e-06
4,4,DE,1.0200999898994605e-08,501,1.0000000000000347e-06,99.99999999999177
5,5,DE,1.0201035312412973e-08,501,99.99346776541844,1.0000654755770562e-06
6,6,DE,1.0201107179350866e-08,501,99.94692623559774,1.0005310231516091e-06
7,7,DE,1.0201831636151624e-08,501,1.0038477149595972e-06,99.61668006791854
8,8,DE,1.0200999898994605e-08,501,1.0000000000003271e-06,99.99999999992771
9,9,DE,1.0200999898994605e-08,501,99.99999999998931,1.0000000000001308e-06
10,10,DE,1.0200999898994605e-08,501,1.0000000000000205e-06,99.99999999999939
11,11,DE,1.0201000572238586e-08,501,99.99967594731024,1.0000032361151449e-06
12,12,DE,1.0201005584415753e-08,501,99.99718928990083,1.0000281050242543e-06
13,13,DE,1.0200999898994605e-08,501,1.0000000000001166e-06,99.99999999999811
14,14,DE,1.0200999898994605e-08,501,99.99999999995066,1.0000000000002985e-06
15,15,DE,1.0201092456962103e-08,501,1.0004537124217566e-06,99.9546523458339
16,16,DE,1.0200999898994605e-08,501,1e-06,99.99999999999847
17,17,DE,1.0201377697180943e-08,501,1.0009804050571995e-06,99.90209787561214
18,18,DE,7.564430813923121e-11,229,1.0889755294357187e-05,9.18297153608264
19,19,DE,1.0201018091495972e-08,501,1.0000834759420578e-06,99.9916494554481
20,20,DE,4.979967540130513e-12,279,1.0990971071506609e-05,9.098358403402672
21,21,DE,1.020143849118998e-08,501,99.78712574355553,1.0021333714104183e-06
22,22,DE,1.0200999898994605e-08,501,99.99999999985873,1.0000000000017364e-06
23,23,DE,1.0201047000086114e-08,501,1.0001568902089898e-06,99.98432585163177
24,24,DE,1.0200999898994605e-08,501,99.99999999980746,1.0000000000025809e-06
25,25,DE,1.0200999898994605e-08,501,1.0000000000005175e-06,99.99999999994468
26,26,DE,1.0200999898994605e-08,501,1.000000000000049e-06,99.9999999999978
27,27,DE,1.0200999898994605e-08,501,1.000000000000186e-06,100.0
28,28,DE,1.0201071413341442e-08,501,1.0002676748816904e-06,99.97322647086085
29,29,DE,1.0200999898994605e-08,501,1.000000000000002e-06,99.99999999997985
30,30,DE,1.0200999898994605e-08,501,1.0000000000003028e-06,99.9999999999679
31,31,DE,1.0200999898994605e-08,501,1.0000000000000103e-06,99.99999999999116
32,32,DE,1.0200999898994605e-08,501,1.0000000000039634e-06,99.99999999958648
33,33,DE,6.842514724771021e-11,251,1.1031474091339852e-05,9.065033932388772
34,34,DE,1.0200999898994605e-08,501,99.99999999940856,1.0000000000050718e-06
35,35,DE,1.0200999898994605e-08,501,1.0000000000012004e-06,99.99999999996109
36,36,DE,1.0201174112645202e-08,501,99.91414047370944,1.0008593079033967e-06
37,37,DE,1.0201136913905841e-08,501,1.0002098709471209e-06,99.97904806301229
